id_entrada,id_fonte,data_entrada,texto_entrada,emocao_rotulada,comprimento_texto
22,2,2026-05-31,"Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.",Happy,226
23,2,2026-05-31,"Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end I was happy I did it, it just wasn't enjoyable while I was in the process of working out.",Frustrated,295
24,2,2026-05-31,Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making onine right now to pay our bills so I was also concerned about making enough money. However at the end of the day I hit my earnings goal so I was satisfied with my progress.,Bored,435
25,2,2026-05-31,Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.,Confused,264
26,2,2026-05-31,"Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.",Happy,334
27,2,2026-05-31,"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.",Happy,148
28,2,2026-05-31,"Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.",Excited,191
29,2,2026-05-31,Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,Frustrated,150
30,2,2026-05-31,"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.",Disgusted,125
31,2,2026-05-31,Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,Excited,157
32,2,2026-05-31,"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.",Confused,272
33,2,2026-05-31,Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,Happy,255
34,2,2026-05-31,"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays",Excited,178
35,2,2026-05-31,Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterw\ard we went to eat then home and watched a movie. It was a relaxing evening.,Happy,260
36,2,2026-05-31,"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.",Anxious,249
37,2,2026-05-31,"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.",Excited,161
38,2,2026-05-31,Yesterday I completed 16 surveys. I was satisfied with work.,Satisfied,60
39,2,2026-05-31,Yesterday despite feeling sluggish,Happy,34
40,2,2026-05-31,"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",Angry,181
41,2,2026-05-31,Working being able to use my skills and knowledge for the benefit and growth of our company.,Proud,92
42,2,2026-05-31,"Work was very demanindg yesteday it required me to work extyra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in  order to finish we were really all working hard. It was amazing, interesting and so much fun I havent had htis much fun at work ever.",Calm,322
43,2,2026-05-31,"Work was long today. I did a lot of different projects at 2 different stores. It was frustrating some of the time, but the fact that I finished everything gave me a sense of accomplishment.",Frustrated,189
44,2,2026-05-31,Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,Anxious,121
45,2,2026-05-31,Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday.,Satisfied,192
46,2,2026-05-31,Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,Angry,391
47,2,2026-05-31,"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.",Bored,272
48,2,2026-05-31,"Work is important, I like to be busy and have a purpose.  It makes me feel good to have alot to do and important responsibilities.  It boosts my self esteem and makes me feel good.",Calm,180
49,2,2026-05-31,Work dominated my day yesterday. There was a mountain of work so I was somewhat frustrated that many things had to be disregarded in my personal life to finish work.,Frustrated,165
50,2,2026-05-31,when nothing goes right I know God is there with me. He is there to lift me up. he's always there to talk to and never judges me. I love him and always blessed for the blessing he gives,Calm,185
51,2,2026-05-31,"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.",Satisfied,168
52,2,2026-05-31,Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago,Anxious,166
53,2,2026-05-31,Went grocery shopping with my mom. Got a flu shot while I was there.,Happy,68
54,2,2026-05-31,we had such a good time it was nice and felt very nice he was very loving,Happy,73
55,2,2026-05-31,We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,Calm,204
56,2,2026-05-31,"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.",Anxious,213
57,2,2026-05-31,was able to meet up with my girlfriend after a week of not seeing her. I was very excited.,Excited,90
58,2,2026-05-31,Was able to eat some of my favorite food so i was pretty happy and excited and couldnt wait to eat it.,Anxious,102
59,2,2026-05-31,Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing,Happy,132
60,2,2026-05-31,"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.",Excited,612
61,2,2026-05-31,"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.",Confused,116
62,2,2026-05-31,"Today, I exercised and it honestly felt amazing.  The feeling after a good workout is hard to beat.",Excited,99
63,2,2026-05-31,Today we had my favorite food in the whole world for dinner!  Pepperoni pizza from Angelo's Pizza Parlour.  It always makes my day when we have pizza!,Calm,150
64,2,2026-05-31,Today we had a snow day or shall I be more specific; we had an ice day!  There was a layer of slick ice that coated all outdoor surfaces so my children were home from school.  We induldged in the day and enjoyed eachothers company by playing games and making cookings.  We watched a chinese anime movie before dinner and snuggled on the couch.,Happy,343
65,2,2026-05-31,Today was my best earning day today. If I can keep earning like this I can save money for the cruise with my friends.,Happy,117
66,2,2026-05-31,today was just a normal day. I worked all day and nothing really happened. During slack times I worked on Mturk. It felt like another day,Satisfied,137
67,2,2026-05-31,"Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.",Calm,221
68,2,2026-05-31,Today was a blessed day as I had God in my heart! It was a good day as it was a day of appreciation for everything I have in this life!,Happy,135
69,2,2026-05-31,Today is a memorable day. Ananya performed a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years.,Satisfied,152
70,2,2026-05-31,Today I went out to drink with friends. We decided to have unlimited wings contest. Between the 4 of us i came in second. I performed better than last time coming in last. It was a great time. We drank talked and ate.,Happy,217
71,2,2026-05-31,Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,Disgusted,158
72,2,2026-05-31,Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,Happy,176
73,2,2026-05-31,Today I spent time with a student at work who is volunteering at the hospital.  She is working on her MSW and we discussed her graduations project.,Satisfied,147
74,2,2026-05-31,Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,Calm,106
75,2,2026-05-31,Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,Anxious,93
76,2,2026-05-31,"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.",Proud,233
77,2,2026-05-31,Time spend with my family is always better than anything,Calm,56
78,2,2026-05-31,This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,Calm,243
79,2,2026-05-31,This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.,Excited,367
80,2,2026-05-31,"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.",Anxious,399
81,2,2026-05-31,The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.,Calm,211
82,2,2026-05-31,The salient thing i did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home.,Excited,232
83,2,2026-05-31,The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,Afraid,640
84,2,2026-05-31,"The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.",Happy,201
85,2,2026-05-31,The most salient thing I felt yesterday was loving life. I for the most part feel blessed in all that I have accomplished in life and am very grateful,Happy,150
86,2,2026-05-31,The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I spent a few hours hiking 8 miles in the Ozark Mountains. The day was warm and beautiful. Feeling the sun on my back felt good.,Excited,259
87,2,2026-05-31,"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.",Sad,261
88,2,2026-05-31,"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.",Anxious,561
89,2,2026-05-31,"The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.",Happy,331
90,2,2026-05-31,The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,Calm,214
91,2,2026-05-31,THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.,Excited,161
92,2,2026-05-31,The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,Anxious,275
93,2,2026-05-31,The food was wonderful.  it was Chinese food from the local restaurant.  i had chicken teriaki french fries and sauteed brocolli in a lovely sauce.  the meat was sp juicy and moist.  the fries were to golden perfection and the sauce on the brocolli was outstanding.  i was so satisfied and sated afterward.  it made my day complete.,Excited,332
94,2,2026-05-31,the food I made was good and made me happy and enjoy my day,Excited,59
95,2,2026-05-31,The day was great and I wish it would never end.  Life couldn't be any better.,Calm,78
96,2,2026-05-31,The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,Excited,134
97,2,2026-05-31,That small things dont matter. That you should be thankful for the person that loves you and that you love.,Afraid,107
98,2,2026-05-31,Taking care of my family especially my kids is the most important responsibility I do. It brings me joy and happiness being able to spend time with my family.,Happy,158
99,2,2026-05-31,Spending time with my wife after work is most precious event of the day. Making our dinner together and catching up on things with my wife during cooking a meal is precious and fun way to spend time together.,Happy,208
100,2,2026-05-31,Spending time with my family meaning my spouse and children gives me so much joy. Being older and having young chilldren gives me an appreciation of every moment with them. It has also given me a real focus on what is important. I never want to be a disappointment to them but instead be an example.,Happy,299
101,2,2026-05-31,"Spending time with my family makes me happy, I am so grateful for them. I feel lucky to have been so blessed.",Happy,109
102,2,2026-05-31,spending time with my family is what I do everyday. its something that makes me really happy,Happy,92
103,2,2026-05-31,Spending time with my daughter and my husband was the most salient thing I did yesterday.  I was out of town for the weekend and was very excited to have some time to catch up with them and just hang out and relax together.,Calm,223
104,2,2026-05-31,"So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.",Proud,313
105,2,2026-05-31,Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,Happy,545
106,2,2026-05-31,"seeing them happy makes me happy, the do everything in their power to make me happy also and we live as one, shared most of the things we have together, always there for ourselvea",Happy,179
107,2,2026-05-31,One of my friends came back from Spain he was getting his masters degree and a bunch of friends gathered to meet him. It was a really cool experience because I got to catch up with many of my friends.,Happy,200
108,2,2026-05-31,"Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey.",Happy,206
109,2,2026-05-31,"My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.",Calm,420
110,2,2026-05-31,My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.,Calm,101
111,2,2026-05-31,My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome.,Bored,127
112,2,2026-05-31,"My work is salient on most days. I feel happy, proud, and satisfied. My job is very important to me, and I feel very positive about my job.",Happy,139
113,2,2026-05-31,my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,Bored,159
114,2,2026-05-31,My wife is the most important thing in my life.  When I get home it is her smiling face that makes me glad I am alive.,Calm,118
115,2,2026-05-31,My wife has 4th stage cancer and is going through chemo every 3 weeks.  In the 2nd week after the last chemo treatment she is her normal self and able  to cook.  So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook and it also was a sign of some normalcy coming back for her in her life.,Calm,328
116,2,2026-05-31,My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.,Happy,263
117,2,2026-05-31,My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,Happy,141
118,2,2026-05-31,"My spouse woke me up with a surprise breakfast in bed since we were taking the morning off and then we spent time cuddling in bed together. Our ""date night"" was seeing a horror movie together in the early afternoon and we spent time holding hands, watching a movie, and then we went out to a late lunch. I felt so lucky and so thrilled to be able to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling so content and giddy, just like when we were in high school. I had an amazing morning filled with love and laughter!",Calm,599
119,2,2026-05-31,My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,Sad,316
120,2,2026-05-31,My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,Anxious,144
121,2,2026-05-31,My son received early admission to the college of his choice today! In addition he received a scholarship!,Proud,106
122,2,2026-05-31,My sister's 29th birthday also 8 yeas sober for her.,Happy,52
123,2,2026-05-31,My partner surprised me today. She stayed home from work and we spent the whole day together. It was so wonderful and special.,Excited,126
124,2,2026-05-31,My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.,Calm,184
125,2,2026-05-31,My parents are planning to sell their house so yesterday they were talking to their realtor. I was helping out my parents cleaning the house to make sure that it looks its best.,Calm,177
126,2,2026-05-31,My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,Happy,125
127,2,2026-05-31,My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is the most important part of my day!,Calm,155
128,2,2026-05-31,My mother makes batches of soups and chili's during the summer and stores them. It always s happy time when she breaks one out for dinners.,Happy,139
129,2,2026-05-31,"My morning routines start with Centering Prayer for 20 minutes, then I pray Lauds to connect me with the prayer of the whole church, Next a type a page into my journal then I simply hangout with God for the last half hour. By this time I am calm and ready for connecting with my housemates. Toward the end of the work day we all gather to say Vespers together before celebrating Mass together in the evening. Praising God for all the the blessings and the challenges of the day is truly what I am about.",Calm,503
130,2,2026-05-31,My mom and I officially decided to run a marathon together late spring this year. We both registered for the race booked travel an officially committed. It makes me excited to continue training because this is something I can do with my mom.,Excited,241
131,2,2026-05-31,My love life is the best thing that I have going for me in my day to day as i work on my goals. I think I found someone special.,Calm,128
132,2,2026-05-31,My husband bought me flowers yesterday for no reason. It was so sweet of him and made me so happy!,Calm,98
133,2,2026-05-31,My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,Calm,381
134,2,2026-05-31,My grandson was born two months before his due date. I got the chance to hold him for the first time yesterday. What a wonderful feeling!,Happy,137
135,2,2026-05-31,"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.",Anxious,167
136,2,2026-05-31,my friends make me happy just knowing them and they are a very important part of my day,Excited,87
137,2,2026-05-31,"My friends came over to rehearse for the show last night and it was wonderful. They got to meet our cat, we ate snacks, and had a great time running lines and blocking. It was the first time they'd been to my place and I was proud to show them my home.",Excited,252
138,2,2026-05-31,"My friend recently told me about a promotion he'd gotten. I was proud and happy for him, but I was also jealousy. I've been working on a promotion myself for a year now, and there's no sign it's coming any time soon.",Jealous,216
139,2,2026-05-31,My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me fee so proud and nostaglic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family.,Happy,236
140,2,2026-05-31,"My family is the most important thing to me.  My time with them is rewarding and it makes me feel content, happy, and safe.",Calm,123
141,2,2026-05-31,"My family is the most important thing in my life. They provide calm, comfort and love.",Calm,86
142,2,2026-05-31,My family is the most important thing in my life.  I makes me feel joy.,Happy,71
143,2,2026-05-31,My family is the biggest part and most important amount of every day for me. I was able to speak with my parents by phone to plan to go over there this weekend. My brother will be there too.,Happy,190
144,2,2026-05-31,My family is one of the most important things in my life. I enjoy spending time with them and taking care of my daughter. It helps me to relax and feel close to them.,Calm,166
145,2,2026-05-31,My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,Angry,401
146,2,2026-05-31,"My family is amazing, and I love them. Being with them is the best part of every day.",Happy,85
147,2,2026-05-31,"My family gives me purpose and helps me diffuse from the stresses of work and the world. My children, their joy, innocence, and silliness all bring me joy.",Happy,155
148,2,2026-05-31,"My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.",Happy,187
149,2,2026-05-31,My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me so I can't really say that it was a bad day! I feel good about the work that I did and I was satisfied with myself.,Proud,242
150,2,2026-05-31,My day was rough yesterday work was hard and dealing with family after work was hard. I spent 8 hours doing grueling mechanical labor then had to run around and feed the kids make sure they did their homework and do house chores so by the time I went to bed it stood out as being the most happy relaxing moment of my day when I could read a book and go to sleep.,Happy,362
151,2,2026-05-31,My day was more productive than I feared it might not be. I reached my goal and surpassed it leaving me happy and fulfilled.,Happy,124
152,2,2026-05-31,My day was good because my only son received three awards for academics and character. I was very proud of him.,Happy,111
153,2,2026-05-31,"My daughter was going through old photos at her house, and posted and texted some of the pictures to me. They brought back a lot of happy memories and some that made me feel very nostalgic and even a bit melancholy. It is so easy to remember those times with great fondness, but hard a bit when I look back and didn't realize how carefree those days were, compared to what they are now. I miss my kids when they were little and growing up and discovering new things and interests.",Calm,480
154,2,2026-05-31,"My daughter is a figure skater. She was practing yesterday afternoon at the rink running through her program  One of the moms of another skater came over to me and lavished praise on how beautiful and well done my daughters program is. This came from a mom of a girl similar to daughter in age, it meant alot to me.",Proud,315
155,2,2026-05-31,My daughter had been home for a few weeks. It was time for her to go back to college. She is in her final semester and will graduate this May. I am happy and proud.,Happy,164
156,2,2026-05-31,"My dad was rushed to the hospital so health and fear were the most salient things.  Luckily it was ""just"" a bleeding ulcer",Afraid,122
157,2,2026-05-31,My brother came from Arizona to help me in recovering a bit more from surgery last week.,Happy,88
158,2,2026-05-31,"My brother and nephew, who I don't see as much anymore, both came over to play basketball at the gym with me. My car has been down for a few weeks so I've been stuck in the house a lot lately. It felt really good to get out of the house and spend time with my family. We talked about a  lot of different things like basketball, life back in Pennsylvania, and work life. It felt like I refueled after spending time with them.",Excited,424
159,2,2026-05-31,My boyfriend and I are falling into a nice routine of living together. It feels nice to reach that space of comfort and love and affection. I think we're really great together.,Calm,176
160,2,2026-05-31,My blood analyses resulted very good for my age.,Calm,48
161,2,2026-05-31,My adult daughter called me with a personal problem yesterday and ask for (and hoped for) my help. It was a bit difficult but I was able to help her and she was very grateful. I'm proud that I adult children respect me and know they can come to me for anything and it makes me very happy to help them.,Proud,301
162,2,2026-05-31,"Just being able to spend a day with the family all being here is great. With my oldest daughter going to college, and working, it's hard to see her as much as we used to. It's the greatest thing ever when we just get to all sit down and eat dinner together.",Happy,257
163,2,2026-05-31,its so nice to feel that everything i worked for was worth it,Happy,61
164,2,2026-05-31,"It's nice at the end of the day to get home and have dinner with the wife and kids, and then relax in the evening until bed time.",Calm,129
165,2,2026-05-31,It was the most important because I need money to live.  If I didn't have this job I couldn't afford my house my car anything in my life.  This is a must.,Happy,154
166,2,2026-05-31,It was the ladies supper at church. Not my church but my mom's church. She asked me to go with her to the first dinner with her a few months ago and I've gone with her to every one since then. I always have such a great time visiting with the ladies there. We made fast friends and it's something I look forward to every month.,Excited,327
167,2,2026-05-31,It was spending time with my family. It was a good time.,Happy,56
168,2,2026-05-31,it was really good.  i got such a buzz off from the endorphines!,Excited,64
